Date,Open,High,Low,Close,Adj Close,Volume
2013-07-22,1.420000,1.740000,1.410000,1.580000,1.580000,100754300
2013-07-29,1.530000,1.590000,1.480000,1.560000,1.560000,34080100
2013-08-05,1.570000,1.790000,1.460000,1.500000,1.500000,147633800
2013-08-12,1.510000,1.520000,1.150000,1.360000,1.360000,125360800
2013-08-19,1.390000,1.440000,1.220000,1.320000,1.320000,45209400
2013-08-26,1.330000,1.350000,1.200000,1.220000,1.220000,33609700
2013-09-02,1.240000,1.290000,1.220000,1.240000,1.240000,24353800
2013-09-09,1.240000,1.250000,1.030000,1.160000,1.160000,66514800
2013-09-16,1.200000,1.380000,1.140000,1.330000,1.330000,59587300
2013-09-23,1.340000,1.400000,1.260000,1.300000,1.300000,46433600
2013-09-30,1.260000,1.640000,1.260000,1.490000,1.490000,104520000
2013-10-07,1.490000,1.660000,1.440000,1.630000,1.630000,97368000
2013-10-14,1.620000,1.650000,1.500000,1.540000,1.540000,48594400
2013-10-21,1.560000,2.680000,1.550000,2.200000,2.200000,297035200
2013-10-28,2.330000,2.460000,2.040000,2.410000,2.410000,184938500
2013-11-04,2.420000,2.450000,2.220000,2.330000,2.330000,93692800
2013-11-11,2.330000,3.500000,2.320000,3.300000,3.300000,275293200
2013-11-18,3.460000,3.460000,2.480000,2.730000,2.730000,259357800
2013-11-25,2.710000,2.860000,2.640000,2.650000,2.650000,39955500
2013-12-02,2.630000,2.890000,2.620000,2.710000,2.710000,53831100
2013-12-09,2.710000,2.920000,2.410000,2.780000,2.780000,102836000
2013-12-16,2.820000,3.370000,2.600000,3.100000,3.100000,128286400
2013-12-23,3.130000,3.200000,2.950000,3.010000,3.010000,31195800
2013-12-30,3.010000,3.070000,2.900000,2.950000,2.950000,27441900
2014-01-06,2.930000,3.340000,2.760000,3.120000,3.120000,79025500
2014-01-13,3.110000,3.330000,2.970000,3.160000,3.160000,62487400
2014-01-20,3.200000,3.220000,3.000000,3.000000,3.000000,34351100
2014-01-27,3.020000,3.150000,2.920000,3.130000,3.130000,36775800
2014-02-03,3.110000,3.140000,2.970000,3.020000,3.020000,58762000
2014-02-10,3.030000,3.150000,3.000000,3.060000,3.060000,28979800
2014-02-17,3.060000,3.410000,3.050000,3.280000,3.280000,93613700
2014-02-24,3.340000,5.000000,3.330000,4.800000,4.800000,302519200
2014-03-03,4.540000,6.000000,4.460000,5.330000,5.330000,187325000
2014-03-10,5.480000,6.350000,3.200000,4.130000,4.130000,482704700
2014-03-17,4.450000,4.550000,2.930000,3.550000,3.550000,275331700
2014-03-24,3.590000,3.650000,3.350000,3.570000,3.570000,64853900
2014-03-31,3.580000,4.850000,3.450000,3.840000,3.840000,98643400
2014-04-07,3.840000,4.140000,3.760000,3.910000,3.910000,52856700
2014-04-14,3.890000,3.980000,3.650000,3.820000,3.820000,29008100
